"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-01-16T16:02:58Z"
"Version","20260116160258"
"OfferCode","comprehend"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","PlatoFeatureType","Region Code","serviceName"
"7JATR3GN9B266VXQ","JRTCKXETXF","7JATR3GN9B266VXQ.JRTCKXETXF.ECJTRKSV3C","OnDemand","USD2.5E-5 per Unit for DetectKeyPhrases:DetectKeyPhrases in Asia Pacific (Mumbai)","2025-04-01","50000000","Inf","Unit","0.0000250000","USD","Key Phrases Detection","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-KeyPhrases","Processes Key Phrase detection text request","APS3-DetectKeyPhrases","DetectKeyPhrases","DetectKeyPhrases","ap-south-1","Amazon Comprehend"
"9NVQHWKWAZJ9N8RA","JRTCKXETXF","9NVQHWKWAZJ9N8RA.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD0.003 per Unit for DetectEvents:DetectEvents in Asia Pacific (Mumbai)","2025-04-01","0","10000000","Unit","0.0030000000","USD","API Calls","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-DetectEvents","Processes Event Analysis text request","APS3-DetectEvents","DetectEvents","DetectEvents","ap-south-1","Amazon Comprehend"
"9NVQHWKWAZJ9N8RA","JRTCKXETXF","9NVQHWKWAZJ9N8RA.JRTCKXETXF.UH4R86KK5B","OnDemand","USD0.0015 per Unit for DetectEvents:DetectEvents in Asia Pacific (Mumbai)","2025-04-01","10000000","50000000","Unit","0.0015000000","USD","API Calls","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-DetectEvents","Processes Event Analysis text request","APS3-DetectEvents","DetectEvents","DetectEvents","ap-south-1","Amazon Comprehend"
"9NVQHWKWAZJ9N8RA","JRTCKXETXF","9NVQHWKWAZJ9N8RA.JRTCKXETXF.ECJTRKSV3C","OnDemand","USD7.5E-4 per Unit for DetectEvents:DetectEvents in Asia Pacific (Mumbai)","2025-04-01","50000000","Inf","Unit","0.0007500000","USD","API Calls","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-DetectEvents","Processes Event Analysis text request","APS3-DetectEvents","DetectEvents","DetectEvents","ap-south-1","Amazon Comprehend"
"CK52DNRGBNBXDD5T","JRTCKXETXF","CK52DNRGBNBXDD5T.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD5.0E-4 per Unit for DetectEntities-Custom:DetectEntities in Asia Pacific (Mumbai)","2025-04-01","0","Inf","Unit","0.0005000000","USD","Custom Entities","comprehend","Asia Pacific (Mumbai)","AWS Region","comprehend - Custom Entities","Processes Custom Entity text request","APS3-DetectEntities-Custom","DetectEntities","DetectEntities-Custom","ap-south-1","Amazon Comprehend"
"D7HE85DPCR6KHVX7","JRTCKXETXF","D7HE85DPCR6KHVX7.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.004 per MB for DetectTopics-PerMB:DetectTopics in Asia Pacific (Mumbai)","2025-04-01","0","Inf","MB","0.0040000000","USD","Topic Modeling","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-DetectTopic-PerMB","Processes Topic Detection text request","APS3-DetectTopics-PerMB","DetectTopics","DetectTopics-PerMB","ap-south-1","Amazon Comprehend"
"F6N6ZF5X3M3Z3J4Z","JRTCKXETXF","F6N6ZF5X3M3Z3J4Z.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD5.0E-5 per Unit for DetectSyntax:DetectSyntax in Asia Pacific (Mumbai)","2025-04-01","0","10000000","Unit","0.0000500000","USD","Syntax Analysis","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-SyntaxAnalysis","Processes Syntax Analysis text request","APS3-DetectSyntax","DetectSyntax","DetectSyntax","ap-south-1","Amazon Comprehend"
"F6N6ZF5X3M3Z3J4Z","JRTCKXETXF","F6N6ZF5X3M3Z3J4Z.JRTCKXETXF.UH4R86KK5B","OnDemand","USD2.5E-5 per Unit for DetectSyntax:DetectSyntax in Asia Pacific (Mumbai)","2025-04-01","10000000","50000000","Unit","0.0000250000","USD","Syntax Analysis","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-SyntaxAnalysis","Processes Syntax Analysis text request","APS3-DetectSyntax","DetectSyntax","DetectSyntax","ap-south-1","Amazon Comprehend"
"F6N6ZF5X3M3Z3J4Z","JRTCKXETXF","F6N6ZF5X3M3Z3J4Z.JRTCKXETXF.ECJTRKSV3C","OnDemand","USD1.25E-5 per Unit for DetectSyntax:DetectSyntax in Asia Pacific (Mumbai)","2025-04-01","50000000","Inf","Unit","0.0000125000","USD","Syntax Analysis","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-SyntaxAnalysis","Processes Syntax Analysis text request","APS3-DetectSyntax","DetectSyntax","DetectSyntax","ap-south-1","Amazon Comprehend"
"JHD3NY7F7T84JP7Q","JRTCKXETXF","JHD3NY7F7T84JP7Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD5.0E-4 per Unit for DocClassification-Custom:DocClassification in Asia Pacific (Mumbai)","2025-04-01","0","Inf","Unit","0.0005000000","USD","Custom Classification","comprehend","Asia Pacific (Mumbai)","AWS Region","comprehend - Custom Classification","Processes Custom Classification text request","APS3-DocClassification-Custom","DocClassification","DocClassification-Custom","ap-south-1","Amazon Comprehend"
"K28D4MK5YVQZED8K","JRTCKXETXF","K28D4MK5YVQZED8K.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD5.0E-4 per Unit for Endpoint-Time:DocClassification in Asia Pacific (Mumbai)","2025-04-01","0","Inf","Unit","0.0005000000","USD","Custom Classification","comprehend","Asia Pacific (Mumbai)","AWS Region","comprehend - Custom Classification","Processes Sync custom classification text request","APS3-Endpoint-Time","DocClassification","Endpoint-Time","ap-south-1","Amazon Comprehend"
"MJQBZSWMGHK84CE9","JRTCKXETXF","MJQBZSWMGHK84CE9.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.5 per Unit for EntityRecognizer-Storage:EntityRecognizer in Asia Pacific (Mumbai)","2025-04-01","0","Inf","Unit","0.5000000000","USD","Custom Entities","comprehend","Asia Pacific (Mumbai)","AWS Region","comprehend - Custom Entities","Processes Custom Entity model storage request","APS3-EntityRecognizer-Storage","EntityRecognizer","EntityRecognizer-Storage","ap-south-1","Amazon Comprehend"
"MKFA6BNYWQTEZKTM","JRTCKXETXF","MKFA6BNYWQTEZKTM.JRTCKXETXF.HWDSBTNJX9","OnDemand","$0.000002 per Unit for ContainsPiiEntities:ContainsPiiEntities in Asia Pacific (Mumbai)","2025-04-01","0","10000000","Unit","0.0000020000","USD","API Calls","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-ContainsPiiEntities","Processes Contains PII in text requests","APS3-ContainsPiiEntities","ContainsPiiEntities","ContainsPiiEntities","ap-south-1","Amazon Comprehend"
"MKFA6BNYWQTEZKTM","JRTCKXETXF","MKFA6BNYWQTEZKTM.JRTCKXETXF.UH4R86KK5B","OnDemand","$0.000001 per Unit for ContainsPiiEntities:ContainsPiiEntities in Asia Pacific (Mumbai)","2025-04-01","10000000","50000000","Unit","0.0000010000","USD","API Calls","comprehend","Asia Pacific (Mumbai)","AWS Region","Global-Comprehend-ContainsPiiEntities","Processes Contains PII in text requests","APS3-ContainsPiiEntities","ContainsPiiEntities","ContainsPiiEntities","ap-south-1","Amazon Comprehend"
