FormatVersion,v1.0
Disclaimer,This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/
Publication Date,2026-04-22T19:42:03Z
Version,20260422194203
OfferCode,AmazonDatabaseSavingsPlans
SKU,RateCode,Unit,EffectiveDate,DiscountedRate,Currency,DiscountedSKU,DiscountedServiceCode,DiscountedUsageType,DiscountedOperation,PurchaseOption,LeaseContractLength,LeaseContractLengthUnit,ServiceCode,UsageType,Operation,Description,Instance Family,Location,Location Type,Granularity,Product Family,DiscountedRegionCode,DiscountedInstanceType
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.36BBEXPUR2CHBJ8D,Hrs,2026-04-20T21:53:43Z,0.1440000000,USD,36BBEXPUR2CHBJ8D,AmazonElastiCache,APS5-NodeUsage:cache.r7g.large,CreateCacheCluster:Valkey,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,cache.r7g.large
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.39NBNPJGYJNDA87K,Hrs,2026-04-20T21:53:43Z,1.7408000000,USD,39NBNPJGYJNDA87K,AmazonRDS,APS5-Multi-AZUsage:db.r7g.2xl,CreateDBInstance:0002,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,R7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.3AW75GK5RMMDSUAA,Hrs,2026-04-20T21:53:43Z,0.6504000000,USD,3AW75GK5RMMDSUAA,AmazonRDS,APS5-InstanceUsageIOOptimized:db.r7g.xl,CreateDBInstance:0016,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,R7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.3BK2G8QDUFCDN79N,Hrs,2026-04-20T21:53:43Z,8.2368,USD,3BK2G8QDUFCDN79N,AmazonRDS,APS5-InstanceUsageIOOptimized:db.r7i.12xl,CreateDBInstance:0016,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r7i.12xlarge
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.3E76EB4NTW6EHPC9,Hrs,2026-04-20T21:53:43Z,1.824,USD,3E76EB4NTW6EHPC9,AmazonRDS,APS5-InstanceUsage:db.r7i.4xl,CreateDBInstance:0019,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r7i.4xlarge
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.3EQBGXT3SBX8UUEJ,Hrs,2026-04-20T21:53:43Z,22.984,USD,3EQBGXT3SBX8UUEJ,AmazonRDS,APS5-InstanceUsage:db.r8i.48xl,CreateDBInstance:0005,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r8i.48xlarge
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.3F528UM8FXFDQCHZ,Hrs,2026-04-20T21:53:43Z,0.228,USD,3F528UM8FXFDQCHZ,AmazonRDS,APS5-InstanceUsage:db.r7i.large,CreateDBInstance:0019,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r7i.large
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.3RDVE9VWN4B7H35M,Hrs,2026-04-20T21:53:43Z,13.9264000000,USD,3RDVE9VWN4B7H35M,AmazonRDS,APS5-Multi-AZUsage:db.r7g.16xl,CreateDBInstance:0002,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,R7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.3TFXVESPJ8Y8ZVW9,Hrs,2026-04-20T21:53:43Z,15.32,USD,3TFXVESPJ8Y8ZVW9,AmazonRDS,APS5-Multi-AZUsage:db.r8i.16xl,CreateDBInstance:0005,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r8i.16xlarge
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.3VQUZJBCFFP838SP,Hrs,2026-04-20T21:53:43Z,3.832,USD,3VQUZJBCFFP838SP,AmazonRDS,APS5-InstanceUsage:db.r8i.8xl,CreateDBInstance:0005,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r8i.8xlarge
